Curso vinculado no UDF,curso_nome,Idade,SEXO,SEMESTRE,Por quantos semestres você ficou vinculado ao Labtech?,Você entrou no Labtech como:,EC01,EC02,EC03,EC04,EC05,EC06,EC07,EC08,EC09,EC10,EC11,EC12,EC13,EC14,EC15,EC16,EC17,GSE01_inv,GSE02_inv,GSE03_inv,GSE04_inv,GSE05_inv,GSE06_inv,GSE07_inv,GSE08_inv,GSE09_inv,GSE10_inv,GSE11_inv,GSE12_inv,GSE13_inv,GSE14_inv,GSE15_inv,GSE16_inv,GSE17_inv,GSE18_inv,GSE19_inv,GSE20_inv,EC_dim_autoconsc,EC_dim_mobilizacao,EC_dim_criacao,GSE_total,GSE_media_item
CCP,Ciência da Computação,23,FEMININO,8º,1,Monitoria para Horas complementares,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,3,4,5,5,5,4,5,4,5,5,4,5,3,5,4,3,3.5,4.0,4.0,87,4.35
CCP,Ciência da Computação,27,MASCULINO,6º,4,Convite da coordenação,4,4,3,3,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,5,4,5,5,4,4,5,4,4,3,5,5,3,4,5,4,5,3.5,3.8,3.8333333333333335,85,4.25
CCP,Ciência da Computação,24,MASCULINO,7º,5,Estágio supervisionado,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,5,5,1,5,1,5,5,1,5,1,5,1,4.0,4.0,4.0,76,3.8
SI,Sistemas de Informação,25,MASCULINO,Formado,1,Estágio supervisionado,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4,3,4,4,3,3,4,4,3,3,4,5,3,5,3.8333333333333335,4.0,4.0,77,3.85
SI,Sistemas de Informação,28,MASCULINO,Formado,1,Estágio supervisionado,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,3,3,3,3,4,4,5,3,5,3.8333333333333335,3.2,4.0,79,3.95
CCP,Ciência da Computação,22,MASCULINO,7º,1,Estágio supervisionado,3,3,3,2,4,3,4,4,4,4,4,4,3,3,3,4,4,3,4,3,5,3,4,3,3,4,3,2,3,4,3,3,2,4,4,3,4,3.0,4.0,3.5,67,3.35
CCP,Ciência da Computação,22,MASCULINO,8º,1,Estágio supervisionado,3,2,4,4,3,4,2,3,4,2,2,4,4,3,4,4,4,4,5,5,5,5,5,2,2,4,3,4,3,5,5,5,5,4,5,4,4,3.3333333333333335,2.6,3.8333333333333335,84,4.2
CCP,Ciência da Computação,22,MASCULINO,8º,2,Estágio supervisionado,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,4,4,4,5,5,5,3,5,4,5,5,3,1,3,4,5,4,4,5,5,4,4,3.8333333333333335,3.6,3.8333333333333335,83,4.15
CCP,Ciência da Computação,21,MASCULINO,7º,2,Monitoria para Horas complementares,4,4,3,2,3,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,2,3,3,5,4,2,4,3,5,4,4,5,4,5,3,3,3.3333333333333335,3.8,4.0,73,3.65
ADS,Análise e Desenvolvimento de Sistemas,37,MASCULINO,3º,2,Convite da coordenação,3,3,2,3,3,3,3,3,4,2,3,3,4,3,4,4,3,4,4,4,4,4,3,4,4,5,5,2,3,2,3,3,3,3,4,4,2,2.8333333333333335,3.0,3.5,70,3.5
CCP,Ciência da Computação,22,MASCULINO,7º,3,Monitoria para Horas complementares,4,4,3,3,4,3,4,4,4,2,3,3,4,4,3,3,4,3,5,5,5,3,5,4,5,5,3,3,3,5,5,4,3,4,5,5,2,3.5,3.4,3.5,82,4.1
SI,Sistemas de Informação,21,MASCULINO,7º,1,Monitoria para Horas complementares,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,2,5,5,4,4,3,4,4,3,3,4,4,4,3.8333333333333335,4.0,4.0,84,4.2
CCP,Ciência da Computação,21,MASCULINO,7º,1,Estágio supervisionado,4,4,4,4,3,4,4,4,2,4,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,4,4,4,4,4,5,5,4,5,3.8333333333333335,3.4,3.8333333333333335,90,4.5
SI,Sistemas de Informação,34,FEMININO,5º,1,Estágio supervisionado,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,4,5,5,3,4,4,4,3,4,4,3,2,4,3,3,4,4,5,4,3.0,2.8,3.1666666666666665,76,3.8
