Timestamp,Curso vinculado no UDF,Vc está cursando sua primeira graduação?,Sua forma de ingresso na Universidade foi por:,Antes do Labtech você já conhecia o conceito de Fábrica de Software?,Por quantos semestres você ficou vinculado ao Labtech?,Você entrou no Labtech como:,"Você gostaria de deixar uma ideia ou critica sobre a sua participação, teve algo que não deu certo ou que deu muito certo? ",Idade ,SEXO,SEMESTRE,Quanto você considera que a experiência no Labtech ajudou no seu desenvolvimento para a vida profissional?,Você trabalhou ou estagiou em alguma empresa durante o período do Labtech?,"Se a sua resposta anterior tiver sido NÃO, vc conseguiu estágio ou trabalho após a experiência no Labtech?","1)Eu posso IDENTIFICAR minhas necessidades, desejos, interesses e objetivos.","2) Eu posso DESCREVER minhas necessidades, desejos, interesses e objetivos.",3) Posso identificar coisas em que sou bom e coisas em que não sou bom.,4) Eu posso julgar meus pontos fortes e fracos e os dos outros em relação às oportunidades de criação de valor.,5) Eu acredito na minha capacidade de fazer o que me DEMANDAM com sucesso. , 6)Eu acredito na minha capacidade de ALCANÇAR o que pretendo.,"7) Eu posso mostrar respeito pelos outros, seus antecedentes e situações.",8) Estou aberto ao valor que outros podem trazer para atividades criadoras de valor. ,9) Eu posso mostrar empatia para com os outros.,"10) Posso reconhecer o papel das minhas emoções, atitudes e comportamentos na formação das atitudes e comportamentos das outras pessoas e vice-versa. ",11) Eu posso mostrar empatia para com os outros. ,12) Posso discutir os benefícios de ouvir as ideias de outras pessoas para alcançar meus objetivos (ou de minha equipe). ,"13) Estou aberto a trabalhar sozinho e com os outros, desempenhando papéis diferentes e assumindo alguma responsabilidade. ",14) Estou disposto a mudar minha maneira de trabalhar em grupo.,15) Estou aberto a envolver outras pessoas em minhas atividades criadoras de valor.,16) Eu posso contribuir para atividades simples de criação de valor. ,17) Eu posso contribuir para a tomada de decisões em grupo de forma construtiva. ,1) Eu sou capaz de ATINGIR a maior parte dos objetivos que defino para mim.,2. Eu sou capaz de SUPERAR muitos desafios.,3. Costumo ser PERSISTENTE na busca de meus objetivos.,4. Eu acredito que eu POSSO ter sucesso em quase qualquer coisa que eu resolva fazer.,5. Eu POSSO fazer a maioria das coisas melhor do que as pessoas em geral.,"6. Mesmo quando as coisas estão difíceis, eu POSSO desempenhá-las muito bem.","7. Quando faço planos, sei que POSSO fazer que eles deem certo.",8. Se algo parece muito complicado eu nem TENTO fazer.,"9. Se eu não consigo fazer algo pela primeira vez, eu continuo TENTANDO até conseguir.",10. Eu sou uma pessoa autoconfiante.,11. Quando eu defino objetivos importantes para mim eu raramente os atinjo.,"12. Quando traço um objetivo, logo começo a colocá-lo em prática.","13. Quando problemas inesperados acontecem, eu não lido bem com eles.",14. Eu costumo PERSISTIR em meus planos.,15. Sou confiante de que posso lidar bem com situações inesperadas.,16. Eu desisto das coisas antes de completá-las.,"17. Quando enfrento problemas, geralmente posso encontrar várias soluções.",18. Dificilmente eu vou me dar bem na vida.,"19. Quando eu falho, eu tenho vontade de tentar mais.",20. Eu me sinto inseguro com relação a minha capacidade de fazer as coisas.
2/14/2025 19:31:37,CCP,Sim,ENEM,Não,1,Monitoria para Horas complementares,"Deu muito pra mim ter trocas de conhecimentos e conhecer colegas de outros cursos, agregando para o projeto diferentes perspectivas.",23,FEMININO,8º,5,"SIM, Estágio",Não,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4,5,5,4,3,4,5,1,5,4,1,4,1,5,4,1,3,1,4,3
2/14/2025 20:14:10,CCP,Não,ENEM,Sim,4,Convite da coordenação,,27,MASCULINO,6º,4,"Sim, trabalho",Sim,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3,4,4,5,4,5,5,2,4,5,2,4,3,5,5,3,4,1,4,1
4/2/2025 12:35:40,CCP,Sim,Transferência,Não,5,Estágio supervisionado,Top,24,MASCULINO,7º,5,"Sim, trabalho",Não,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/2/2025 12:38:30,SI,Não,Vestibular tradicional,Não,1,Estágio supervisionado,Sem ideia ou crítica,25,MASCULINO,Formado,2,"Sim, trabalho",,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4,4,5,5,3,4,4,3,4,4,3,3,2,4,3,3,4,1,3,1
4/2/2025 12:41:46,SI,Sim,Vestibular tradicional,Sim,1,Estágio supervisionado,"Foi uma excelente oportunidade para conhecer as diversas áreas de atuação dentro de um projeto de desenvolvimento, além de proporcionar uma imersão completa no processo de criação de um sistema, desde o planejamento até a entrega. A experiência no labtech permitiu uma visão abrangente do ciclo de desenvolvimento, o que contribuiu significativamente para minha ambientação no modelo de trabalho adotado pela empresa.",28,MASCULINO,Formado,5,"Sim, trabalho",,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4,4,4,4,4,4,4,1,4,5,2,3,3,3,3,2,4,1,3,1
4/2/2025 12:45:34,CCP,Sim,ENEM,Não,1,Estágio supervisionado,,22,MASCULINO,7º,3,NÃO,Não,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,2 - Discordo Parcialmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3,4,3,5,3,4,3,3,4,3,4,3,2,3,3,4,4,2,3,2
4/2/2025 12:56:33,CCP,Sim,ENEM,Sim,1,Estágio supervisionado,,22,MASCULINO,8º,3,"Sim, trabalho",,3 - Concordo Parcialmente,2 - Discordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,2 - Discordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,2 - Discordo Parcialmente,2 - Discordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4,5,5,5,5,5,2,4,4,3,2,3,1,5,5,1,4,1,4,2
4/2/2025 13:06:22,CCP,Sim,ENEM,Sim,2,Estágio supervisionado,,22,MASCULINO,8º,3,"Sim, trabalho",,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4,5,5,5,3,5,4,1,5,3,5,3,2,5,4,2,5,1,4,2
4/2/2025 14:06:07,CCP,Sim,Vestibular tradicional,Sim,2,Monitoria para Horas complementares,No meu estágio eu não tenho muito contato com código e etc. O labtech me ajudou a ter mais esse contato ,21,MASCULINO,7º,5,"SIM, Estágio",,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,2 - Discordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3,3,4,4,2,3,3,1,4,2,2,3,1,4,4,1,4,1,3,3
4/2/2025 16:38:41,ADS,Sim,Vestibular tradicional,Não,2,Convite da coordenação,Não ,37,MASCULINO,3º,3,NÃO,Não,3 - Concordo Parcialmente,3 - Concordo Parcialmente,2 - Discordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,2 - Discordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4,4,4,4,4,3,4,2,5,5,4,3,4,3,3,3,3,2,4,4
4/2/2025 18:33:22,CCP,Sim,ENEM,Não,3,Monitoria para Horas complementares,Alunos que já tem experiência com desenvolvimento poderiam receber uma pequena bolsa pra ajudar aqueles que estao começando ,22,MASCULINO,7º,5,NÃO,Sim,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,2 - Discordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,3,5,5,5,3,5,4,1,5,3,3,3,1,5,4,3,4,1,5,4
4/2/2025 19:31:44,SI,Sim,ENEM,Sim,1,Monitoria para Horas complementares,,21,MASCULINO,7º,5,"Sim, trabalho",,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,5,5,5,5,5,5,5,4,5,5,2,4,3,4,4,3,3,2,4,2
4/2/2025 19:34:22,CCP,Sim,ENEM,Sim,1,Estágio supervisionado,"Uma completa falta de organização e didática, especialmente para quem tava começando a programar. ",21,MASCULINO,7º,3,TRABALHO VOLUNTÁRIO,,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,2 - Discordo Parcialmente,4 - Concordo Totalmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,4 - Concordo Totalmente,5,5,5,5,5,5,5,1,5,5,5,4,2,4,4,2,5,1,4,1
4/3/2025 7:56:37,SI,Não,ENEM,Sim,1,Estágio supervisionado,A UDF deveria ter uma fabrica junior estruturada e sustentavel para gerar conhecimento permanece e renda para jovens e pequenas empresas.,34,FEMININO,5º,3,NÃO,Sim,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,2 - Discordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,3 - Concordo Parcialmente,4 - Concordo Totalmente,4,4,5,5,3,4,4,2,3,4,2,3,4,4,3,3,4,2,5,2
